StartDate,EndDate,RecordedDate,ResponseId,ID,Location,SC_num,Vist,PrevVisit,Prev_VisitNum,Motiv_Hist,Motiv_Nature,Motiv_Calm,Motiv_Adven,Motiv_Quiet,SoundInterfere,Open_Sound,SC6,SC6_3min,SC6_9min,SC6_15min,SC6_30min,PrefHearAC,PreferHearAC_open,SC6_1perday,SC6_10perday,SC6_25perday,SC6_50perday,SC6_100perday,NoLongVisit,NoLongVisit_open,HearAC,AC_Annoy,FlightDenali_Yes,FlightPark_Yes,Flight_No,Flight_interest,TaxiDenali_Yes,TaxiPark_Yes,Taxi_No,Camp,CampLocation,CampOther_open,Adult_select,Child_select,Adult_number,Child_number,Stay_hours_select,Stay_days_select,Stay_hours_open,Stay_days_open,GrooupType,Gender_select,Gender_other,YearBorn,US_Resident,ZipCode,NonRes_Country,Education,HispanicLatino,Race_Indian,Race_Asian,Race_Black,Race_Hawaiian,Race_Pacific,Race_White,Race_Refuse,Notes_Select,Notes_open,RC_Motiv_Hist,RC_Motive_Nature,RC_Motive_Calm,RC_Motiv_Adven,RC_Motiv_Quiet,ClipSeqence,Clip_ID,Acceptablity,Interp,Lmax1_5,Lmax_SC6,SEL1_5,SEL_SC6,RC_Acceptability,RC_Interpretation,Lmax1sec1_5,LMax1sec_SC6,LMin1sec1_5,LMin1sec_SC6,MaxRough1_5,MaxRough_SC6,MedRough1_5,MedRough_SC6,Race_Comb
6/23/2017 9:21,6/23/2017 9:29,6/23/2017 9:54,R_2rkghKZ0igyLMyC,1,2,351,1, , ,6,6,6,6,6,3,Train, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,5,5,5,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
6/23/2017 9:21,6/23/2017 9:29,6/23/2017 9:54,R_2rkghKZ0igyLMyC,1,2,351,1, , ,6,6,6,6,6,3,Train, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,5,5,5,2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
6/23/2017 9:21,6/23/2017 9:29,6/23/2017 9:54,R_2rkghKZ0igyLMyC,1,2,351,1, , ,6,6,6,6,6,3,Train, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,5,5,5,3,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
6/23/2017 9:21,6/23/2017 9:29,6/23/2017 9:54,R_2rkghKZ0igyLMyC,1,2,351,1, , ,6,6,6,6,6,3,Train, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,5,5,5,4,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
6/23/2017 9:21,6/23/2017 9:29,6/23/2017 9:54,R_2rkghKZ0igyLMyC,1,2,351,1, , ,6,6,6,6,6,3,Train, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,5,5,5,5,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
6/23/2017 13:55,6/23/2017 14:28,6/23/2017 14:51,R_fRS8KQB5dyjfjaf,2,2,358,2,2,2,6,6,6,6,6,1,Vehicles,33,1,1,1,1,2, ,1,1,1,1,1,2, ,2, , , ,1,2, , ,1,2, , ,1,1,3,0,1, ,8, ,2,2, ,1961,1,28787, ,6,2, , , , , ,1, ,1, ,5,5,5,5,5,1,33,7,7,42.8,42.8,39.6,39.6,2,2,52.7,52.7,30.9,30.9,192,192,165.4,165.4,7
6/23/2017 13:55,6/23/2017 14:28,6/23/2017 14:51,R_fRS8KQB5dyjfjaf,2,2,358,2,2,2,6,6,6,6,6,1,Vehicles,33,1,1,1,1,2, ,1,1,1,1,1,2, ,2, , , ,1,2, , ,1,2, , ,1,1,3,0,1, ,8, ,2,2, ,1961,1,28787, ,6,2, , , , , ,1, ,1, ,5,5,5,5,5,2,16,1,1,71.9,42.8,67.6,39.6,-4,-4,74.7,52.7,30.2,30.9,228.3,192,138.8,165.4,7
6/23/2017 13:55,6/23/2017 14:28,6/23/2017 14:51,R_fRS8KQB5dyjfjaf,2,2,358,2,2,2,6,6,6,6,6,1,Vehicles,33,1,1,1,1,2, ,1,1,1,1,1,2, ,2, , , ,1,2, , ,1,2, , ,1,1,3,0,1, ,8, ,2,2, ,1961,1,28787, ,6,2, , , , , ,1, ,1, ,5,5,5,5,5,3,35,2,2,46.2,42.8,40.4,39.6,-3,-3,57.7,52.7,32.3,30.9,185.1,192,150.8,165.4,7
6/23/2017 13:55,6/23/2017 14:28,6/23/2017 14:51,R_fRS8KQB5dyjfjaf,2,2,358,2,2,2,6,6,6,6,6,1,Vehicles,33,1,1,1,1,2, ,1,1,1,1,1,2, ,2, , , ,1,2, , ,1,2, , ,1,1,3,0,1, ,8, ,2,2, ,1961,1,28787, ,6,2, , , , , ,1, ,1, ,5,5,5,5,5,4,25,1,1,59.1,42.8,51.4,39.6,-4,-4,69.3,52.7,30,30.9,213.6,192,173.4,165.4,7
6/23/2017 13:55,6/23/2017 14:28,6/23/2017 14:51,R_fRS8KQB5dyjfjaf,2,2,358,2,2,2,6,6,6,6,6,1,Vehicles,33,1,1,1,1,2, ,1,1,1,1,1,2, ,2, , , ,1,2, , ,1,2, , ,1,1,3,0,1, ,8, ,2,2, ,1961,1,28787, ,6,2, , , , , ,1, ,1, ,5,5,5,5,5,5,7,2,2,53.2,42.8,45.4,39.6,-3,-3,55.5,52.7,31,30.9,184,192,141.3,165.4,7
6/23/2017 13:05,6/23/2017 13:55,6/23/2017 14:51,R_4p8wsrxvanX05Yp,3,2,357,2,2,35,6,6,5,5,5,3,Car alarms,28,3,2,1,1,1,1,9,7,1,1,1,1,10,1,3,1,1, ,1, , ,1,1,1, ,1,1,1,2, ,1, ,5,1,1, ,1962,1,99712, ,3,2, , , , , ,1, ,2,Annoyed by aircraft sound and sight over savage River.,5,5,4,4,4,1,15,1,1,104.9,48.3,91.3,44.9,-4,-4,88.1,61,36.9,34.2,379.5,215.5,211.9,161.7,7
6/23/2017 13:05,6/23/2017 13:55,6/23/2017 14:51,R_4p8wsrxvanX05Yp,3,2,357,2,2,35,6,6,5,5,5,3,Car alarms,28,3,2,1,1,1,1,9,7,1,1,1,1,10,1,3,1,1, ,1, , ,1,1,1, ,1,1,1,2, ,1, ,5,1,1, ,1962,1,99712, ,3,2, , , , , ,1, ,2,Annoyed by aircraft sound and sight over savage River.,5,5,4,4,4,2,8,3,3,58.8,48.3,54.4,44.9,-2,-2,61.6,61,31,34.2,147.8,215.5,102.1,161.7,7
6/23/2017 13:05,6/23/2017 13:55,6/23/2017 14:51,R_4p8wsrxvanX05Yp,3,2,357,2,2,35,6,6,5,5,5,3,Car alarms,28,3,2,1,1,1,1,9,7,1,1,1,1,10,1,3,1,1, ,1, , ,1,1,1, ,1,1,1,2, ,1, ,5,1,1, ,1962,1,99712, ,3,2, , , , , ,1, ,2,Annoyed by aircraft sound and sight over savage River.,5,5,4,4,4,3,17,1,1,82.4,48.3,72.9,44.9,-4,-4,81.6,61,30,34.2,303.9,215.5,207.9,161.7,7
6/23/2017 13:05,6/23/2017 13:55,6/23/2017 14:51,R_4p8wsrxvanX05Yp,3,2,357,2,2,35,6,6,5,5,5,3,Car alarms,28,3,2,1,1,1,1,9,7,1,1,1,1,10,1,3,1,1, ,1, , ,1,1,1, ,1,1,1,2, ,1, ,5,1,1, ,1962,1,99712, ,3,2, , , , , ,1, ,2,Annoyed by aircraft sound and sight over savage River.,5,5,4,4,4,4,28,3,3,48.3,48.3,44.9,44.9,-2,-2,61,61,34.2,34.2,215.5,215.5,161.7,161.7,7
6/23/2017 13:05,6/23/2017 13:55,6/23/2017 14:51,R_4p8wsrxvanX05Yp,3,2,357,2,2,35,6,6,5,5,5,3,Car alarms,28,3,2,1,1,1,1,9,7,1,1,1,1,10,1,3,1,1, ,1, , ,1,1,1, ,1,1,1,2, ,1, ,5,1,1, ,1962,1,99712, ,3,2, , , , , ,1, ,2,Annoyed by aircraft sound and sight over savage River.,5,5,4,4,4,5,13,1,1,98.2,48.3,84.6,44.9,-4,-4,86.8,61,33.1,34.2,322.7,215.5,186.9,161.7,7
6/23/2017 12:40,6/23/2017 13:05,6/23/2017 14:51,R_cViqxPXsMNuS3BT,4,2,356,1, , ,5,6,5,6,5,3,People talking,7,8,6,4,2,2, ,9,8,5,3,1,1,25,2, , , ,1,1, , ,1,2, , ,1,1,4,3, ,1, ,3,2,2, ,1977,1,30022, ,6,2, ,1, , , , , ,1, ,4,5,4,5,4,1,14,4,3,96.9,53.2,84.4,45.4,-1,-2,87.6,55.5,31.9,31,338.1,184,177,141.3,3
6/23/2017 12:40,6/23/2017 13:05,6/23/2017 14:51,R_cViqxPXsMNuS3BT,4,2,356,1, , ,5,6,5,6,5,3,People talking,7,8,6,4,2,2, ,9,8,5,3,1,1,25,2, , , ,1,1, , ,1,2, , ,1,1,4,3, ,1, ,3,2,2, ,1977,1,30022, ,6,2, ,1, , , , , ,1, ,4,5,4,5,4,2,6,5,4,49.9,53.2,46.4,45.4,0,-1,62.4,55.5,32.6,31,168.5,184,127.8,141.3,3
6/23/2017 12:40,6/23/2017 13:05,6/23/2017 14:51,R_cViqxPXsMNuS3BT,4,2,356,1, , ,5,6,5,6,5,3,People talking,7,8,6,4,2,2, ,9,8,5,3,1,1,25,2, , , ,1,1, , ,1,2, , ,1,1,4,3, ,1, ,3,2,2, ,1977,1,30022, ,6,2, ,1, , , , , ,1, ,4,5,4,5,4,3,19,3,2,62.1,53.2,51.2,45.4,-2,-3,83.2,55.5,39,31,340.5,184,177.4,141.3,3
